LAKE VELENCE LWL AGÁRD,"		Observed (hourly)","		Observed","		Observed (daily average)","		date","		Oi","		Pi (Matthew Chapman)","		[Oi-Pi(Matthew Chapman)]^2","		RMSE (Matthew Chapman)","		Monthly winner"
2024.09.29 23:00,110,"		2024.09.06",109,"		2024.09.25",110,108,4,"		","		"
2024.09.29 22:00,110,"		2024.09.05",110,"		2024.09.26",108,108,0,"		","		"
2024.09.29 21:00,110,"		2024.09.04",110,"		2024.09.27",110,108,4,"		","		"
2024.09.29 20:00,110,"		2024.09.03",110,"		2024.09.28",110,108,4,"		","		"
2024.09.29 19:00,110,"		2024.09.02",111,"		2024.09.29",111,108,9,"		","		"
2024.09.29 18:00,110,"		2024.09.01",111,"		2024.09.30",109,108,1,"		","		"
2024.09.29 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.29 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.29 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.29 14:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 13:00,110,"		","		","		","		","		","		","		","		"
2024.09.29 12:00,110,"		","		","		","		","		","		","		","		"
2024.09.29 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 8:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 7:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 6:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 5:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 4:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 3:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 1:00,111,"		","		","		","		","		","		","		","		"
2024.09.29 0:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 23:00,111,"		","		","		","		","		","		","		","		"
2024.09.28 22:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 21:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 20:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 19:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 18:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 14:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 13:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 12:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 11:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 10:00,109,"		","		","		","		","		","		","		","		"
2024.09.28 9:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 8:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 7:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 6:00,109,"		","		","		","		","		","		","		","		"
2024.09.28 5:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 4:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 3:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 2:00,110,"		","		","		","		","		","		","		","		"
2024.09.28 1:00,109,"		","		","		","		","		","		","		","		"
2024.09.28 0:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 23:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 22:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 21:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 20:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 19:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 18:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 14:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 13:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 12:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 11:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 10:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 9:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 8:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 7:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 6:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 5:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 4:00,110,"		","		","		","		","		","		","		","		"
2024.09.27 3:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 2:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 1:00,109,"		","		","		","		","		","		","		","		"
2024.09.27 0:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 23:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 22:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 21:00,108,"		","		","		","		","		","		","		","		"
2024.09.26 20:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 19:00,108,"		","		","		","		","		","		","		","		"
2024.09.26 18:00,108,"		","		","		","		","		","		","		","		"
2024.09.26 17:00,107,"		","		","		","		","		","		","		","		"
2024.09.26 16:00,106,"		","		","		","		","		","		","		","		"
2024.09.26 15:00,106,"		","		","		","		","		","		","		","		"
2024.09.26 14:00,104,"		","		","		","		","		","		","		","		"
2024.09.26 13:00,104,"		","		","		","		","		","		","		","		"
2024.09.26 12:00,105,"		","		","		","		","		","		","		","		"
2024.09.26 11:00,106,"		","		","		","		","		","		","		","		"
2024.09.26 10:00,108,"		","		","		","		","		","		","		","		"
2024.09.26 9:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 8:00,109,"		","		","		","		","		","		","		","		"
2024.09.26 7:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 6:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 5:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 4:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 3:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 2:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 1:00,110,"		","		","		","		","		","		","		","		"
2024.09.26 0:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 23:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 22:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 21:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 20:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 19:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 18:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 14:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 13:00,109,"		","		","		","		","		","		","		","		"
2024.09.25 12:00,109,"		","		","		","		","		","		","		","		"
2024.09.25 11:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 10:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 9:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 8:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 7:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 6:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 5:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 4:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 3:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 2:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 1:00,110,"		","		","		","		","		","		","		","		"
2024.09.25 0:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 23:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 22:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 21:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 20:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 19:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 18:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 14:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 13:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 12:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 11:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 8:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 7:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 6:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 5:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 4:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 3:00,110,"		","		","		","		","		","		","		","		"
2024.09.24 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 1:00,111,"		","		","		","		","		","		","		","		"
2024.09.24 0:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 23:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 22:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 21:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 20:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 19:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 18:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 17:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 16:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 15:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 14:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 13:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 12:00,110,"		","		","		","		","		","		","		","		"
2024.09.23 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 8:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 7:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 6:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 5:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 4:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 3:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 1:00,111,"		","		","		","		","		","		","		","		"
2024.09.23 0:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 23:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 22:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 21:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 20:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 19:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 18:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 17:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 16:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 15:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 14:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 13:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 12:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 8:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 7:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 6:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 5:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 4:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 3:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 1:00,111,"		","		","		","		","		","		","		","		"
2024.09.22 0:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 23:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 22:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 21:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 20:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 19:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 18:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 17:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 16:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 15:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 14:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 13:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 12:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.21 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 3:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 2:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 1:00,112,"		","		","		","		","		","		","		","		"
2024.09.21 0:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 23:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 22:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 21:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 20:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 19:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 18:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 17:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 14:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 13:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 12:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 11:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 10:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 9:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 3:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 2:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 1:00,112,"		","		","		","		","		","		","		","		"
2024.09.20 0:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 23:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 22:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 21:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 20:00,111,"		","		","		","		","		","		","		","		"
2024.09.19 19:00,111,"		","		","		","		","		","		","		","		"
2024.09.19 18:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 17:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 14:00,113,"		","		","		","		","		","		","		","		"
2024.09.19 13:00,113,"		","		","		","		","		","		","		","		"
2024.09.19 12:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 11:00,113,"		","		","		","		","		","		","		","		"
2024.09.19 10:00,113,"		","		","		","		","		","		","		","		"
2024.09.19 9:00,113,"		","		","		","		","		","		","		","		"
2024.09.19 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 3:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 2:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 1:00,112,"		","		","		","		","		","		","		","		"
2024.09.19 0:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 23:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 22:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 21:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 20:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 19:00,111,"		","		","		","		","		","		","		","		"
2024.09.18 18:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 17:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 14:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 13:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 12:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 11:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 10:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 9:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 3:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 2:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 1:00,112,"		","		","		","		","		","		","		","		"
2024.09.18 0:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 23:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 22:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 21:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 20:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 19:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 18:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 17:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 14:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 13:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 12:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.17 10:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 9:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 3:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 2:00,112,"		","		","		","		","		","		","		","		"
2024.09.17 1:00,113,"		","		","		","		","		","		","		","		"
2024.09.17 0:00,113,"		","		","		","		","		","		","		","		"
2024.09.16 23:00,113,"		","		","		","		","		","		","		","		"
2024.09.16 22:00,113,"		","		","		","		","		","		","		","		"
2024.09.16 21:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 20:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 19:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 18:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 17:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 14:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 13:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 12:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 11:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 10:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 9:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 8:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 7:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 6:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 5:00,112,"		","		","		","		","		","		","		","		"
2024.09.16 4:00,111,"		","		","		","		","		","		","		","		"
2024.09.16 3:00,111,"		","		","		","		","		","		","		","		"
2024.09.16 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.16 1:00,111,"		","		","		","		","		","		","		","		"
2024.09.16 0:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 23:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 22:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 21:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 20:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 19:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 18:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 17:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 16:00,112,"		","		","		","		","		","		","		","		"
2024.09.15 15:00,112,"		","		","		","		","		","		","		","		"
2024.09.15 14:00,112,"		","		","		","		","		","		","		","		"
2024.09.15 13:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 12:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 11:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 10:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 9:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 8:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 7:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 6:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 5:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 4:00,112,"		","		","		","		","		","		","		","		"
2024.09.15 3:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 2:00,111,"		","		","		","		","		","		","		","		"
2024.09.15 1:00,110,"		","		","		","		","		","		","		","		"
2024.09.15 0:00,109,"		","		","		","		","		","		","		","		"
2024.09.14 23:00,109,"		","		","		","		","		","		","		","		"
2024.09.14 22:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 21:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 20:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 19:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 18:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 17:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 16:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 15:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 14:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 13:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 12:00,109,"		","		","		","		","		","		","		","		"
2024.09.14 11:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 10:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 9:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 8:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 7:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 6:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 5:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 4:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 3:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 2:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 1:00,108,"		","		","		","		","		","		","		","		"
2024.09.14 0:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 23:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 22:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 21:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 20:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 19:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 18:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 17:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 16:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 15:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 14:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 13:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 12:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 11:00,108,"		","		","		","		","		","		","		","		"
2024.09.13 10:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 9:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 8:00,106,"		","		","		","		","		","		","		","		"
2024.09.13 7:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 6:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 5:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 4:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 3:00,107,"		","		","		","		","		","		","		","		"
2024.09.13 2:00,107,"		","		","		","		","		","		","		","		"
